Security_Cam_BOM,,,,
Security Cam BOM,,,,
Item,Price ($),Quantity,Link,Description
OV2640 (75MM-160 650nm),$7.03,1,https://www.aliexpress.us/item/3256802853835121.html,Camera used to capture security footage
1N4148 Diodes,$1.48,1,https://www.aliexpress.us/item/2255799955957794.html,Diodes for pcb
Motion Sensor,$1.58,1,https://www.aliexpress.us/item/3256807881009549.html,Turns on cam when senses motion
Micro SD (32G),$7.69,1,https://shop.sandisk.com/products/memory-cards/microsd-cards/sandisk-ultra-uhs-i-microsd?sku=SDSQUNC-032G-AN6MA,For esp32 to hold video
XIAO ESP32-S3 Sense,$23.99,1,https://a.co/d/cD5nkfC,Microcontroller in numpad with camera extension
Cherry MX Switches,$4.79,2,https://a.co/d/3V39xDp,Weirdly cheaper than on Ali 
OLED 0.91 Display,$1.96,1,https://www.aliexpress.us/item/3256805114690528.html,Display for numpad 
Pin Header (for esp),$5.25,1,https://a.co/d/dtQFQny,To solder Xiao onto pcb
Pin Header (for motion sensor),$1.49,1,https://www.aliexpress.us/item/2251832777957007.html,So the motion sensor sits slightly above the case of numpad
DSA Keycaps,$3.29,1,https://www.aliexpress.us/item/3256805819590269.html,Keycapz for cherry mx
Numpad Screws,$1.73,1,https://www.aliexpress.us/item/3256806737710687.html,Screws so it doesnâ€™t open
Numpad Heatsets,$2.16,1,https://www.aliexpress.us/item/3256803396040989.html,Heatsets for bottom of case
Micro USB Cable,$1.71,1,https://www.aliexpress.us/item/3256807553855991.html,To give esp32 power
Micro SD Card Reader ,$1.25,1,https://www.aliexpress.us/item/2251832695439636.html,To delete footage from sd card when storage is full
PCB (pcbway),$5.00,1,https://www.pcbway.com/,PCB for numpad
Shipping (added),$15.31,,,"PCB - $7.06, Ali - $8.69,"
Sales Tax/Fees (added),$4.20,,,"Sandisk - $0.32, Ali - $1.35, Amazon - $2.53, PCB - $0.84"
Discounts (added),-$6.79,,,Ali: -$6.79 
Grand Total,$87.91,,,